"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.412292917E-1,1.794767761E-1,2.022444305E0,8.795110474E0,9.026431251E0
7.512282917E-1,-1.333726501E-1,1.365011444E0,9.150321808E0,9.252536609E0
7.612272917E-1,-5.763015747E-2,1.119222565E0,9.179960175E0,9.248115981E0
7.712272917E-1,2.098635864E-1,1.206042023E0,8.946146393E0,9.029513573E0
7.812262917E-1,3.179388428E-1,1.396595764E0,9.526788940E0,9.633860719E0
7.912252917E-1,3.080593872E-1,1.358874207E0,9.920320587E0,1.001769436E1
8.012252917E-1,1.896556091E-1,1.329834595E0,9.992171173E0,1.008205902E1
8.112242917E-1,1.389111328E-1,1.405277710E0,1.008243347E1,1.018084311E1
8.212242917E-1,5.538482666E-2,1.325643311E0,1.002704865E1,1.011445017E1
8.312232917E-1,-1.209484863E-1,1.314566345E0,1.010638367E1,1.019223744E1
8.412222917E-1,-3.080593872E-1,1.242266693E0,1.002570145E1,1.010706766E1
8.512222917E-1,-2.944377136E-1,1.207089844E0,1.032103729E1,1.039555531E1
8.612212917E-1,-1.252894592E-1,1.193917236E0,1.048479675E1,1.055329800E1
8.712202917E-1,1.143621826E-1,1.114133148E0,1.029918274E1,1.035990041E1
8.812202917E-1,3.043171692E-1,1.048719177E0,1.017688705E1,1.023530415E1
8.912192917E-1,3.504212952E-1,9.764195251E-1,1.009710297E1,1.015025509E1
9.012192917E-1,3.038681030E-1,9.160949707E-1,1.003543121E1,1.008173822E1
9.112182917E-1,1.077758789E-1,9.463320923E-1,1.006896149E1,1.011390852E1
9.212172917E-1,-1.026864624E-1,9.970765686E-1,1.002869522E1,1.007866231E1
9.312172917E-1,-2.309696960E-1,1.003363495E0,9.992919617E0,1.004582141E1
9.412162917E-1,-2.104623413E-1,9.113049316E-1,9.931696930E0,9.975639076E0
9.512152917E-1,-2.335144043E-2,8.663983154E-1,9.846074982E0,9.884148111E0
9.612152917E-1,2.519261169E-1,9.644444275E-1,9.698930969E0,9.750019578E0
9.712142917E-1,3.989204407E-1,1.030756531E0,9.630672913E0,9.693887625E0
9.812132917E-1,3.763174438E-1,9.746232605E-1,9.762249298E0,9.817994534E0
9.912132917E-1,3.323089600E-1,9.624984741E-1,9.956694946E0,1.000862662E1
1.001212292E0,2.760260010E-1,1.002315674E0,1.003692810E1,1.009062698E1
1.011212292E0,1.968406677E-1,1.002914429E0,1.000818787E1,1.006023896E1
1.021211292E0,1.761836243E-1,9.767189026E-1,9.924062805E0,9.973567218E0
1.031210292E0,2.131567383E-1,8.978329468E-1,9.779313812E0,9.822755135E0
1.041210292E0,2.561174011E-1,9.581575012E-1,9.640252991E0,9.691137170E0
1.051209292E0,2.618055725E-1,1.147663422E0,9.702373810E0,9.773521936E0
1.061208292E0,2.502795410E-1,1.159788208E0,9.741891632E0,9.813877985E0
1.071208292E0,2.580633545E-1,1.115180969E0,9.811646576E0,9.878189805E0
1.081207292E0,3.540138245E-1,1.076261902E0,9.801168365E0,9.866436378E0
1.091207292E0,4.727169800E-1,9.794132996E-1,9.712552643E0,9.773248723E0
1.101206292E0,6.047424316E-1,9.924362183E-1,9.622889099E0,9.692813713E0
1.111205292E0,6.491999817E-1,9.936337280E-1,9.632169800E0,9.705022599E0
1.121205292E0,6.152206421E-1,9.452842712E-1,9.706116028E0,9.771425031E0
1.131204292E0,5.462141418E-1,1.017134857E0,9.817783813E0,9.885433335E0
1.141203292E0,4.634362793E-1,1.151106262E0,1.000309845E1,1.007977169E1
1.151203292E0,4.767585754E-1,1.141376495E0,9.919721832E0,9.996545417E0
1.161202292E0,5.038522339E-1,1.035995636E0,9.879156189E0,9.946098785E0
1.171202292E0,5.075944519E-1,9.819580078E-1,9.945617981E0,1.000685818E1
1.181201292E0,4.758604431E-1,1.054706726E0,9.958191833E0,1.002518997E1
1.191200292E0,5.123844910E-1,1.071621552E0,1.003917343E1,1.010919946E1
1.201200292E0,6.239025879E-1,1.016835480E0,1.005548950E1,1.012600997E1
1.211199292E0,6.794371033E-1,1.019380188E0,1.000235001E1,1.007709166E1
1.221198292E0,6.950047302E-1,1.039438477E0,9.991123352E0,1.006906201E1
1.231198292E0,7.253915405E-1,1.021176453E0,9.934391327E0,1.001304775E1
1.241197292E0,6.825805664E-1,1.193468170E0,9.771380310E0,9.867631715E0
1.251197292E0,5.462141418E-1,1.325044556E0,9.833800507E0,9.937692155E0
1.261196292E0,4.288581848E-1,1.316961365E0,9.769883423E0,9.867569542E0
1.271195292E0,3.959266663E-1,1.252295837E0,9.734107819E0,9.822314280E0
1.281195292E0,4.664300537E-1,1.203347626E0,9.805060272E0,9.889631411E0
1.291194292E0,5.556445312E-1,1.173709259E0,9.599837036E0,9.687270275E0
1.301193292E0,6.533912659E-1,1.033301239E0,9.572893066E0,9.650643153E0
1.311193292E0,6.698570251E-1,9.633966064E-1,9.689201202E0,9.759992899E0
1.321192292E0,5.445675659E-1,9.446855164E-1,9.777068481E0,9.837685330E0
1.331192292E0,4.613406372E-1,9.084608459E-1,9.863588562E0,9.916073599E0
1.341191292E0,4.366419983E-1,9.246272278E-1,9.792037354E0,9.845282488E0
1.351190292E0,4.200265503E-1,9.530680847E-1,9.748927002E0,9.804404050E0
1.361190292E0,4.095483398E-1,9.701325989E-1,9.734257507E0,9.791049807E0
1.371189292E0,4.113446045E-1,1.015039215E0,9.683962097E0,9.745698071E0
1.381188292E0,4.547543335E-1,1.023122406E0,9.813592529E0,9.877255656E0
1.391188292E0,4.773573303E-1,1.027912445E0,9.723479919E0,9.789307215E0
1.401187292E0,5.096900940E-1,1.012195129E0,9.620494080E0,9.687013436E0
1.411187292E0,5.258564758E-1,1.001716919E0,9.632768555E0,9.698978907E0
1.421186292E0,4.629872131E-1,1.075962524E0,9.718540192E0,9.788875113E0
1.431185292E0,3.790118408E-1,1.130748596E0,9.814939728E0,9.887127198E0
1.441185292E0,3.261717224E-1,1.091530151E0,9.935289459E0,1.000039013E1
1.451184292E0,2.885998535E-1,1.073268127E0,9.977052612E0,1.003876353E1
1.461183292E0,3.248245239E-1,1.117276611E0,9.900262299E0,9.968400653E0
1.471183292E0,4.107458496E-1,1.065484314E0,9.865085449E0,9.930955639E0
1.481182292E0,4.502636719E-1,9.927355957E-1,9.854607239E0,9.914713570E0
1.491182292E0,4.885839844E-1,9.544152832E-1,9.707313538E0,9.766348292E0
1.501181292E0,5.378315735E-1,9.903405762E-1,9.666598206E0,9.732068543E0
1.511180292E0,5.433700562E-1,9.979747009E-1,9.652228088E0,9.718884277E0
