"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.144675625E0,-4.260140991E-1,2.724334717E-2,9.760453033E0
9.244381625E0,-4.080514526E-1,3.742218018E-3,9.782157898E0
9.344088625E0,-4.254153442E-1,1.526824951E-2,9.816735992E0
9.443795250E0,-4.095483398E-1,2.170486450E-2,9.835447083E0
9.543501250E0,-4.346960449E-1,2.739303589E-2,9.788145447E0
9.643208250E0,-4.114942932E-1,2.814147949E-2,9.780511322E0
9.742914250E0,-4.037104797E-1,2.170486450E-2,9.773326263E0
9.842620250E0,-3.986210632E-1,1.676513672E-2,9.807155914E0
9.942327250E0,-4.053570557E-1,1.916015625E-2,9.838141479E0
1.004203325E1,-4.016148376E-1,2.020797729E-2,9.840985565E0
1.014173925E1,-3.965254211E-1,1.886077881E-2,9.831106110E0
1.024144625E1,-3.809577942E-1,1.886077881E-2,9.795629883E0
1.034115225E1,-4.062551880E-1,2.574645996E-2,9.789342957E0
1.044085746E1,-3.694317627E-1,-2.439926147E-2,9.861193542E0
1.054056446E1,-4.192781067E-1,4.086502075E-2,9.775721283E0
1.064027046E1,-3.912863159E-1,-4.640350342E-3,9.811646576E0
1.073997746E1,-5.427713013E-1,1.601669312E-2,9.823172607E0
1.083968346E1,-4.040098572E-1,4.206253052E-2,9.787995758E0
1.093938946E1,-4.424798584E-1,2.230361938E-2,9.762099609E0
1.103909646E1,-4.110452271E-1,1.930984497E-2,9.804012451E0
1.113880246E1,-4.209246826E-1,2.469863892E-2,9.815987549E0
1.123850946E1,-4.453239441E-1,1.751358032E-2,9.807754669E0
1.133821546E1,-4.138893127E-1,1.916015625E-2,9.793384552E0
1.143792183E1,-4.275109863E-1,1.781295776E-2,9.782756653E0
1.153762883E1,-3.944297791E-1,2.529739380E-2,9.826316071E0
1.163733483E1,-4.053570557E-1,2.125579834E-2,9.825717316E0
1.173704183E1,-3.939807129E-1,1.422042847E-2,9.812245331E0
1.183674783E1,-4.406835938E-1,4.191284180E-3,9.779014435E0
1.193645483E1,-3.442840576E-1,1.122665405E-2,9.822424164E0
1.203616083E1,-3.939807129E-1,3.233276367E-2,9.799671478E0
1.213586683E1,-3.875440979E-1,2.454895020E-2,9.814041595E0
1.223557383E1,-3.864962769E-1,3.442840576E-2,9.865235138E0
1.233527983E1,-3.312611389E-1,6.481521606E-2,9.834698639E0
1.243498738E1,-3.715274048E-1,1.407073975E-2,9.813293152E0
1.253469338E1,-4.237687683E-1,2.155517578E-2,9.795779572E0
1.263439938E1,-4.436773682E-1,5.987548828E-4,9.780211945E0
1.273410638E1,-3.760180664E-1,5.149291992E-2,9.796078949E0
1.283381237E1,-4.189787292E-1,1.901046753E-2,9.813442841E0
1.293351838E1,-4.062551880E-1,2.185455322E-2,9.799072723E0
1.303322538E1,-4.134402466E-1,1.616638184E-2,9.811347198E0
1.313293138E1,-3.695814514E-1,2.544708252E-2,9.812245331E0
1.323263838E1,-4.249662781E-1,4.550537109E-2,9.792037354E0
1.333234438E1,-3.802093506E-1,3.472778320E-2,9.749974823E0
1.343205033E1,-3.697311401E-1,-1.047821045E-3,9.806706848E0
1.353175733E1,-4.200265503E-1,4.370910645E-2,9.767189026E0
1.363146333E1,-4.291575623E-1,5.688171387E-3,9.841135254E0
1.373116933E1,-3.921844482E-1,2.125579834E-2,9.795929260E0
1.383087633E1,-4.369413757E-1,2.260299683E-2,9.791737976E0
1.393058233E1,-4.138893127E-1,2.245330811E-2,9.776020660E0
1.403028833E1,-4.023632813E-1,3.233276367E-2,9.795629883E0
1.412999533E1,-4.245172119E-1,2.155517578E-2,9.817185059E0
1.422970133E1,-4.031117249E-1,1.916015625E-2,9.810000000E0
1.432940733E1,-4.200265503E-1,1.990859985E-2,9.815388794E0
1.442911308E1,-3.992198181E-1,2.245330811E-2,9.798174591E0
1.452882008E1,-4.144880676E-1,2.664459229E-2,9.789342957E0
1.462852608E1,-4.068539429E-1,1.975891113E-2,9.784852295E0
1.472823208E1,-4.058061218E-1,1.017883301E-2,9.795031128E0
1.482793808E1,-3.755690002E-1,1.975891113E-2,9.812844086E0
1.492764408E1,-4.053570557E-1,2.365081787E-2,9.819729767E0
1.502735008E1,-3.749702454E-1,1.975891113E-2,9.810898132E0
1.512705608E1,-3.909869385E-1,2.320175171E-2,9.808353424E0
1.522676208E1,-3.861968994E-1,1.886077881E-2,9.796977081E0
1.532646808E1,-3.568579102E-1,2.200424194E-2,9.800270233E0
1.542617388E1,-4.047583008E-1,1.990859985E-2,9.799072723E0
1.552587988E1,-4.161346436E-1,2.574645996E-2,9.825268250E0
1.562558588E1,-4.149371338E-1,2.395019531E-2,9.811796265E0
1.572529188E1,-4.034111023E-1,2.499801636E-2,9.806257782E0
1.582499788E1,-4.046086121E-1,2.724334717E-2,9.808802490E0
1.592470388E1,-3.987707520E-1,1.826202393E-2,9.814041595E0
1.602440988E1,-3.924838257E-1,2.095642090E-2,9.806407471E0
1.612411588E1,-4.032614136E-1,2.619552612E-2,9.799072723E0
1.622382187E1,-4.251159668E-1,2.350112915E-2,9.805060272E0
1.632352788E1,-3.938310242E-1,2.454895020E-2,9.815538483E0
1.642323333E1,-3.908372498E-1,2.709365845E-2,9.831405487E0
1.652293933E1,-3.965254211E-1,2.125579834E-2,9.823471985E0
1.662264533E1,-3.921844482E-1,2.080673218E-2,9.815538483E0
1.672235133E1,-3.969744873E-1,2.694396973E-2,9.792785797E0
1.682205633E1,-3.894900513E-1,1.047821045E-2,9.798923035E0
1.692176233E1,-3.773652649E-1,1.811233521E-2,9.796827393E0
1.702146833E1,-4.222718811E-1,2.694396973E-2,9.831255798E0
1.712117433E1,-3.873944092E-1,2.050735474E-2,9.830207977E0
1.722087933E1,-4.197271729E-1,2.335144043E-2,9.818831635E0
1.732058533E1,-3.983216858E-1,2.080673218E-2,9.796228638E0
1.742028983E1,-4.352947998E-1,3.353027344E-2,9.807305603E0
1.751999583E1,-4.180805969E-1,2.215393066E-2,9.787696381E0
1.761970183E1,-3.947291565E-1,2.514770508E-2,9.811796265E0
1.771940683E1,-3.706292725E-1,2.185455322E-2,9.818831635E0
1.781911283E1,-4.037104797E-1,2.125579834E-2,9.834099884E0
1.791881783E1,-4.111949158E-1,2.664459229E-2,9.803114319E0
1.801852383E1,-4.044589233E-1,2.110610962E-2,9.785301361E0
1.811822883E1,-4.004173279E-1,1.930984497E-2,9.794582062E0
1.821793383E1,-4.123924255E-1,2.080673218E-2,9.818083191E0
1.831763983E1,-4.035607910E-1,1.916015625E-2,9.835896149E0
1.841734433E1,-3.974235535E-1,2.290237427E-2,9.818532257E0
1.851705033E1,-1.767823792E-1,7.334747314E-2,9.920919342E0
1.861675533E1,-4.266128540E-1,1.094224548E-1,9.758656769E0
1.871646033E1,-3.963757324E-1,1.975891113E-2,9.725725250E0
1.881928133E1,-3.803590393E-1,9.430389404E-3,9.807155914E0
1.891898633E1,-4.311035156E-1,5.957611084E-2,9.882000275E0
1.901869233E1,-4.129911804E-1,1.276844788E-1,9.862840118E0
1.911839733E1,-3.891906738E-1,1.664538574E-1,9.851014709E0
1.921810233E1,-3.844006348E-1,1.965412903E-1,9.838889923E0
1.931780733E1,-3.775149536E-1,2.113604736E-1,9.806257782E0
1.941751258E1,-4.068539429E-1,2.713856506E-1,9.776918793E0
1.951721858E1,-4.496649170E-1,3.869453430E-1,9.764494629E0
1.961692358E1,-4.076023865E-1,4.391867065E-1,9.811347198E0
1.971662858E1,-4.644841003E-1,4.466711426E-1,9.809850311E0
1.981633358E1,-4.071533203E-1,4.646337891E-1,9.853559418E0
1.991603858E1,-4.152365112E-1,4.447251892E-1,9.848470001E0
2.001574358E1,-4.068539429E-1,4.016148376E-1,9.799821167E0
2.011544858E1,-4.111949158E-1,3.858975220E-1,9.772128754E0
2.021515458E1,-3.956272888E-1,4.471202087E-1,9.744586029E0
2.031485958E1,-4.349954224E-1,4.661306763E-1,9.785451050E0
2.041456458E1,-4.120930481E-1,4.528083801E-1,9.834099884E0
2.051426996E1,-4.234693909E-1,5.017565918E-1,9.859696655E0
2.061397496E1,-4.105961609E-1,5.788462830E-1,9.841434631E0
2.071367996E1,-3.995191956E-1,6.267466736E-1,9.817634125E0
2.081338496E1,-3.770658875E-1,6.173162842E-1,9.773326263E0
2.091308996E1,-4.061054993E-1,5.718109131E-1,9.786199493E0
2.101279396E1,-4.092489624E-1,5.861810303E-1,9.813143463E0
2.111249896E1,-4.179309082E-1,6.180647278E-1,9.801767120E0
