Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.002062583,-0.499361572,0.096249847,9.787247314
0.012024583,-0.15328125,0.117655334,9.709259491
0.021985583,-0.228574677,0.149838409,9.845326538
0.031947583,-0.296683044,0.089813232,9.80535965
0.041909583,-0.257614288,0.112416229,9.803114319
0.05187175,-0.22468277,0.152682495,9.82751358
0.06183375,-0.260608063,0.092807007,9.805209961
0.07179575,-0.293240204,0.102387085,9.806706848
0.08175775,-0.172441406,0.131277008,9.782157898
0.09171875,-0.206720123,0.128881989,9.794132996
0.10168075,-0.305814056,0.115709381,9.774972839
0.11164275,-0.245339813,0.137713623,9.859397278
0.12160475,-0.216749268,0.101189575,9.827363892
0.13156675,-0.379909973,0.117355957,9.810449066
0.14152875,-0.100291443,0.107326813,9.830507355
0.15149075,-0.295036469,0.081730042,9.799671478
0.16145175,-0.289797363,0.117505646,9.75970459
0.17141375,-0.092208252,0.113613739,9.7701828
0.18137575,-0.360749817,0.111368408,9.810449066
0.19133775,-0.333356781,0.103584595,9.823921051
0.20129975,-0.049696655,0.151934052,9.843230896
0.21126175,-0.208366699,0.127085724,9.865235138
0.22122375,-0.444874878,0.094303894,9.824220428
0.23118475,-0.228574677,0.123193817,9.818831635
0.24114675,-0.107027435,0.161663818,9.784552917
0.25110875,-0.376467133,0.08771759,9.815089417
0.26107075,-0.399219818,0.083526306,9.831255798
0.27103275,-0.027243347,0.169747009,9.796827393
0.28099475,-0.26914032,0.094453583,9.879156189
0.29095675,-0.526604919,0.075143738,9.815388794
0.30091775,-0.083226929,0.119601288,9.850266266
0.31087975,-0.130079498,0.158969421,9.7900914
0.32084175,-0.478704529,0.066312103,9.84038681
0.33080375,-0.27033783,0.135168915,9.808203735
0.34076575,-0.017214203,0.161813507,9.833950195
0.35072775,-0.35925293,0.116457825,9.832303619
0.36068975,-0.492176514,0.069904633,9.84397934
0.37065075,-0.066461792,0.136366425,9.856253815
0.38061275,-0.161663818,0.135318604,9.812993774
0.39057475,-0.573457489,0.047900391,9.822573853
0.40053675,-0.151934052,0.131726074,9.832752686
0.41049875,-0.064665527,0.134869537,9.844129028
0.42046075,-0.486488342,0.103883972,9.814041595
0.43042275,-0.388891296,0.09131012,9.864636383
0.44038375,-0.037721558,0.167501678,9.839039612
0.45034575,-0.305814056,0.118553467,9.852960663
0.46030775,-0.437091064,0.105979614,9.852960663
0.47026975,-0.213456116,0.112266541,9.836045837
0.48023175,-0.201780396,0.136965179,9.835896149
0.49019375,-0.293838959,0.136815491,9.842033386
0.50015575,-0.313148804,0.093705139,9.852361908
0.51011675,-0.305514679,0.124690704,9.820627899
0.52007875,-0.184566193,0.127684479,9.831405487
0.53004075,-0.317639465,0.126936035,9.866881714
0.54000275,-0.288450165,0.106877747,9.852062531
0.54996475,-0.223036194,0.136216736,9.836045837
0.55992675,-0.249381409,0.128133545,9.834698639
0.56988875,-0.385149078,0.138911133,9.808503113
0.57985075,-0.194146271,0.137414246,9.80176712
0.58981175,-0.158670044,0.139809265,9.782906342
0.59977375,-0.428558807,0.111817474,9.869576111
0.60973575,-0.303419037,0.101938019,9.771679688
0.61969775,-0.12633728,0.15088623,9.832602997
0.62965975,-0.31240036,0.126936035,9.789342957
0.63962175,-0.335452423,0.094902649,9.782157898
0.64958375,-0.235310669,0.098495178,9.797575836
0.65954475,-0.173788605,0.143850861,9.72452774
0.66950675,-0.387544098,0.07723938,9.793833618
0.67946875,-0.304766235,0.102387085,9.779463501
0.68943075,-0.115260315,0.131127319,9.814939728
0.69939275,-0.2468367,0.119152222,9.805060272
0.70935475,-0.479902039,0.087867279,9.815388794
0.71931675,-0.121247864,0.161214752,9.816735992
0.72927775,-0.166902924,0.129630432,9.799821167
0.73923975,-0.47391449,0.094902649,9.774673462
0.74920175,-0.261805573,0.144599304,9.785600739
0.75916375,-0.112416229,0.133073273,9.847871246
0.76912575,-0.360600128,0.137563934,9.846823425
0.77908775,-0.290096741,0.110919342,9.820627899
0.78904975,-0.226628723,0.125738525,9.842482452
0.79901075,-0.234412537,0.119601288,9.814340973
0.80897275,-0.321381683,0.105829926,9.860145721
0.81893475,-0.243992615,0.124990082,9.796677704
0.82889675,-0.17663269,0.138162689,9.788594513
0.83885875,-0.315094757,0.110320587,9.807155914
0.84882075,-0.351319427,0.094603271,9.799072723
0.85878275,-0.174237671,0.11002121,9.819131012
0.86874375,-0.189805298,0.147892456,9.803264008
0.87870575,-0.390238495,0.092208252,9.806557159
0.88866775,-0.253423004,0.100141754,9.842482452
0.89862975,-0.180075531,0.142054596,9.796677704
0.90859175,-0.285157013,0.080981598,9.791737976
0.91855375,-0.362246704,0.099992065,9.821975098
0.92851575,-0.193547516,0.10178833,9.828860779
0.93847675,-0.20821701,0.130079498,9.851613464
0.94843875,-0.343685303,0.10178833,9.802814941
0.95840075,-0.250728607,0.130229187,9.831255798
0.96836275,-0.187559967,0.113164673,9.819879456
0.97832475,-0.33814682,0.113913116,9.817634125
0.98828675,-0.225431213,0.124241638,9.842482452
0.99824875,-0.230670319,0.124391327,9.836345215
1.00820975,-0.323028259,0.136067047,9.827363892
1.01817175,-0.260608063,0.121098175,9.822424164
1.02813375,-0.249680786,0.135168915,9.855355682
1.03809575,-0.258063354,0.096399536,9.834998016
1.04805775,-0.28545639,0.108075256,9.837991791
1.058019375,-0.274379425,0.137114868,9.86149292
1.067981375,-0.239202576,0.123343506,9.826316071
1.077942375,-0.346080322,0.110769653,9.854607239
1.087904375,-0.187110901,0.114212494,9.829459534
1.097866375,-0.302969971,0.12049942,9.845476227
1.107828375,-0.295934601,0.100890198,9.795330505
1.117790375,-0.250728607,0.105680237,9.813891907
1.127752375,-0.232316895,0.115559692,9.796078949
1.137714375,-0.314945068,0.108224945,9.815239105
1.147675375,-0.308059387,0.102087708,9.790989532
1.157637375,-0.198187866,0.125289459,9.816286926
1.167599375,-0.2667453,0.114960938,9.795779572
1.177561375,-0.34518219,0.092807007,9.788744202
1.187523375,-0.21180954,0.10642868,9.831704865
1.197485375,-0.231867828,0.117505646,9.790540466
1.207446375,-0.344134369,0.082927551,9.79592926
1.217408375,-0.287102966,0.093256073,9.810449066
1.227370375,-0.168998566,0.120948486,9.807455292
1.237332375,-0.327818298,0.099692688,9.80176712
1.247294375,-0.307161255,0.107326813,9.811945953
1.257256375,-0.205372925,0.127085724,9.827064514
1.267218375,-0.262703705,0.122744751,9.791139221
1.277179375,-0.32063324,0.135917358,9.841883698
1.287141375,-0.184566193,0.139060822,9.783355408
1.297103375,-0.304766235,0.120349731,9.825118561
1.307065375,-0.306263123,0.142503662,9.815239105
1.317027375,-0.188158722,0.135168915,9.830357666
1.326989375,-0.293539581,0.123343506,9.870474243
1.336951375,-0.255668335,0.143102417,9.823172607
1.346912375,-0.240849152,0.134121094,9.845775604
1.356874375,-0.279468842,0.122295685,9.901459808
1.366836375,-0.245190125,0.119750977,9.852960663
1.376798375,-0.32991394,0.112865295,9.911638641
1.386760375,-0.166753235,0.126636658,9.90714798
1.396722375,-0.278121643,0.117206268,9.915530548
1.406684375,-0.357606354,0.122445374,9.93169693
1.416645375,-0.121098175,0.153430939,9.90131012
1.426607375,-0.254770203,0.12289444,9.923613739
1.436569375,-0.373473358,0.122744751,9.928104401
1.446531375,-0.121547241,0.132773895,9.904453583
1.456493375,-0.296832733,0.151335297,9.882449341
1.466455375,-0.254919891,0.135318604,9.901010742
1.476416375,-0.24923172,0.156873779,9.889484711
1.486378375,-0.260757751,0.14504837,9.824220428
1.496340375,-0.223185883,0.135019226,9.886940002
1.506302375,-0.276026001,0.125139771,9.843380585
1.516264375,-0.220192108,0.133222961,9.828112335
1.526226375,-0.204624481,0.139958954,9.819131012
1.536188375,-0.289348297,0.122145996,9.781259766
1.546149375,-0.238454132,0.114960938,9.810149689
1.556111375,-0.143701172,0.127983856,9.809700623
1.566073375,-0.301323395,0.092507629,9.79592926
1.576035375,-0.242046661,0.100740509,9.780810699
1.585997375,-0.141755219,0.089663544,9.824819183
1.595959375,-0.2667453,0.086669769,9.747879181
1.605921375,-0.226329346,0.073946228,9.760003967
1.615882375,-0.201331329,0.100141754,9.746531982
