"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.412274998E-2,1.300794983E0,8.397537231E-2,9.855205994E0
1.241111250E-1,1.261726227E0,9.265731812E-2,9.623338165E0
2.240991250E-1,1.182540894E0,8.098159790E-2,9.672286377E0
3.240881250E-1,1.186283112E0,7.843688965E-2,9.677824860E0
4.240761250E-1,1.262324982E0,8.891510010E-2,9.730964355E0
5.240651250E-1,1.332528992E0,1.447489929E-1,9.710756378E0
6.240531250E-1,1.369801483E0,2.520758057E-1,9.765093384E0
7.240421250E-1,1.255139923E0,2.179467773E-1,9.639205170E0
8.240301250E-1,1.295406189E0,1.776805115E-1,9.752669220E0
9.240181250E-1,1.135987701E0,1.999841309E-1,9.860295410E0
1.024006125E0,1.160985718E0,9.669891357E-2,9.777667236E0
1.123995625E0,1.431173859E0,1.459465027E-1,9.882000275E0
1.223983625E0,1.829196167E0,9.430389404E-2,9.685608673E0
1.323971625E0,1.829944611E0,1.448986816E-1,9.613758087E0
1.423960625E0,1.804946594E0,2.478845215E-1,9.829160156E0
1.523948625E0,1.374741211E0,3.089575195E-1,9.790390778E0
1.623936625E0,1.887275391E0,8.607101440E-2,9.679022369E0
1.723924625E0,1.807790680E0,-4.370910645E-2,9.679022369E0
1.823912625E0,1.869312744E0,1.272354126E-2,9.756860504E0
1.923900625E0,1.941462708E0,5.298980713E-2,9.643546143E0
2.023888625E0,1.754651184E0,1.288819885E-1,9.821975098E0
2.123881750E0,2.057022400E0,1.321751404E-1,9.418713684E0
2.223869750E0,2.042951660E0,1.779798889E-1,9.688303070E0
2.323857750E0,2.061962128E0,1.257385254E-2,9.718839569E0
2.423845750E0,2.226170654E0,1.369651794E-1,9.495653687E0
2.523833750E0,2.124382324E0,1.047821045E-2,9.647737427E0
2.623821750E0,2.085463257E0,6.316864014E-2,9.573940887E0
2.723808750E0,2.051334229E0,1.257385254E-1,9.639354858E0
2.823796750E0,2.034120026E0,1.691482544E-1,9.668843536E0
2.923784750E0,2.056273956E0,2.016307068E-1,9.617949371E0
3.023772750E0,2.243983612E0,2.502795410E-1,9.497000885E0
3.123756750E0,2.171683960E0,1.148112488E-1,9.568701782E0
3.223744750E0,2.080224152E0,1.387614441E-1,9.638307037E0
3.323731750E0,2.119891663E0,1.411564636E-1,9.573641510E0
3.423719750E0,2.023342438E0,1.425036621E-1,9.731114044E0
3.523707750E0,2.008523254E0,1.178050232E-1,9.690398712E0
3.623694750E0,1.965562592E0,1.341210938E-1,9.660760345E0
3.723682750E0,1.935026093E0,1.007405090E-1,9.561367035E0
3.823670750E0,1.942061462E0,1.279838562E-1,9.618099060E0
3.923657750E0,1.894310760E0,1.478924561E-1,9.685908051E0
4.023645750E0,1.930834808E0,1.457968140E-1,9.567504272E0
4.123633125E0,1.933379517E0,1.133143616E-1,9.693242798E0
4.223621125E0,1.930984497E0,1.122665405E-1,9.546996918E0
4.323608125E0,1.923799438E0,1.276844788E-1,9.622589722E0
4.423596125E0,1.916913757E0,1.454974365E-1,9.627679138E0
4.523583125E0,1.894610138E0,7.664062500E-2,9.686955872E0
4.623571125E0,1.918410645E0,1.025367737E-1,9.657616882E0
4.723558125E0,1.893412628E0,1.312770081E-1,9.812694397E0
4.823546125E0,1.908980255E0,1.215472412E-1,9.698631592E0
4.923533125E0,1.930834808E0,1.736389160E-1,9.682465210E0
5.023520125E0,1.949545898E0,1.457968140E-1,9.656269684E0
5.123507125E0,1.970801697E0,1.375639343E-1,9.651329956E0
5.223495125E0,1.975292358E0,1.332229614E-1,9.682016144E0
5.323482125E0,1.977537689E0,1.507365417E-1,9.643546143E0
5.423469125E0,2.031575317E0,8.487350464E-2,9.549841003E0
5.523456125E0,2.040406952E0,7.110214233E-2,9.552984467E0
5.623444125E0,1.981130219E0,5.673202515E-2,9.633666687E0
5.723431125E0,1.987716522E0,6.466552734E-2,9.679770813E0
5.823418125E0,1.981429596E0,1.431024170E-1,9.639055481E0
5.923405125E0,1.990560608E0,6.721023560E-2,9.541009369E0
6.023392125E0,2.010618896E0,7.274871826E-2,9.630223846E0
6.123378792E0,2.068099365E0,3.203338623E-2,9.553732910E0
6.223365792E0,2.059567108E0,-7.229965210E-2,9.531578979E0
6.323352792E0,1.956880646E0,8.068222046E-2,9.639354858E0
6.423339792E0,1.890867920E0,1.167572021E-2,9.789193268E0
6.523326792E0,1.946701813E0,7.065307617E-2,9.699529724E0
6.623313792E0,1.895657959E0,-4.730163574E-2,9.696086884E0
6.723300792E0,1.883682861E0,1.047821045E-3,9.589358826E0
6.823287792E0,1.893412628E0,1.287322998E-2,9.529183960E0
6.923273792E0,1.852248230E0,-5.538482666E-2,9.645791473E0
7.023260792E0,1.874402161E0,-3.293151855E-2,9.603429565E0
7.123248000E0,1.825154572E0,-5.987548828E-4,9.751322021E0
7.223235000E0,1.738035736E0,6.945556641E-2,9.617649994E0
7.323221000E0,1.831591187E0,7.065307617E-2,9.772727509E0
7.423208000E0,1.834584961E0,9.445358276E-2,9.564211121E0
7.523195000E0,1.836680603E0,1.459465027E-1,9.676178284E0
7.623182000E0,1.725162506E0,1.185534668E-1,9.523346100E0
7.723168000E0,1.747017059E0,5.328918457E-2,9.585017853E0
7.823155000E0,1.687440948E0,-1.077758789E-1,9.641450500E0
7.923141000E0,1.494492188E0,-6.586303711E-2,9.883497162E0
8.023128000E0,1.375639343E0,-2.330653381E-1,9.678722992E0
8.123114375E0,1.443747711E0,-6.212081909E-2,9.743089142E0
8.223100375E0,1.548380127E0,-2.204914856E-1,9.790091400E0
8.323087375E0,1.513352966E0,-2.871029663E-1,9.745633850E0
8.423073375E0,1.528770905E0,-2.649490356E-1,9.711804199E0
8.523060375E0,1.590442657E0,-1.293310547E-1,9.586664429E0
8.623046375E0,1.663640442E0,-2.700384521E-1,9.663604431E0
8.723032375E0,1.613045654E0,-2.507286072E-1,9.537117462E0
8.823019375E0,1.665885773E0,-2.293231201E-1,9.671537933E0
8.923005375E0,1.609004059E0,-1.995350647E-1,9.644144897E0
9.022992375E0,1.614542542E0,-2.335144043E-1,9.661658478E0
9.122979167E0,1.634002075E0,-1.910028076E-1,9.715845795E0
9.222965167E0,1.576521606E0,-1.067280579E-1,9.575288086E0
9.322952167E0,1.590292969E0,-1.472937012E-1,9.713450775E0
9.422938167E0,1.625020752E0,-1.442999268E-1,9.545949097E0
9.522924167E0,1.629661102E0,-6.825805664E-2,9.609566803E0
9.622910167E0,1.638343048E0,-5.703140259E-2,9.681267700E0
9.722896167E0,1.624721375E0,-1.101708984E-1,9.643845520E0
