"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.351375016E-3,-5.592370605E-1,2.350112915E-2,9.745633850E0
1.009603750E-1,-4.646337891E-1,-3.966751099E-2,9.797575836E0
2.005693750E-1,-4.852908325E-1,-5.433700562E-2,9.800569611E0
3.001783750E-1,-4.996609497E-1,-3.248245239E-2,9.786498871E0
3.997873750E-1,-4.538562012E-1,-4.311035156E-2,9.803713074E0
4.993953750E-1,-4.445755005E-1,-4.700225830E-2,9.812844086E0
5.990043750E-1,-4.519102478E-1,-3.233276367E-2,9.799222412E0
6.986133750E-1,-4.348457336E-1,-4.879852295E-2,9.805958405E0
7.982223750E-1,-4.761598206E-1,-5.358856201E-2,9.801018677E0
8.978315833E-1,-4.718188477E-1,-3.772155762E-2,9.820627899E0
9.974405834E-1,-4.839436340E-1,-5.284011841E-2,9.813143463E0
1.097049583E0,-5.095404053E-1,-5.284011841E-2,9.804611206E0
1.196658583E0,-4.683760071E-1,-6.496490479E-2,9.803563385E0
1.296266583E0,-4.598437500E-1,-4.071533203E-2,9.815239105E0
1.395875583E0,-4.499642944E-1,-5.837860107E-2,9.811796265E0
1.495484583E0,-4.945715332E-1,-5.688171387E-2,9.807006226E0
1.595093583E0,-4.772076416E-1,-4.715194702E-2,9.815837860E0
1.694702583E0,-4.701722717E-1,-6.167175293E-2,9.830357666E0
1.794311583E0,-4.599934387E-1,-4.969665527E-2,9.812844086E0
1.893919958E0,-4.558021545E-1,-5.508544922E-2,9.828262024E0
1.993527958E0,-4.330494690E-1,-5.328918457E-2,9.825717316E0
2.093136958E0,-5.174739075E-1,-4.565505981E-2,9.773775330E0
2.192745958E0,-4.667294312E-1,-3.442840576E-2,9.736053772E0
2.292354958E0,-4.489164734E-1,-5.254074097E-2,9.833950195E0
2.391963958E0,-4.369413757E-1,-4.670288086E-2,9.853110352E0
2.491572958E0,-4.766088867E-1,-5.583389282E-2,9.835896149E0
2.591181958E0,-5.049000549E-1,-4.415817261E-2,9.812245331E0
2.690790958E0,-4.498146057E-1,-4.939727783E-2,9.781259766E0
2.790399958E0,-4.614903259E-1,-2.469863892E-2,9.779613190E0
2.890008500E0,-4.544549561E-1,-5.388793945E-2,9.821975098E0
2.989617500E0,-4.839436340E-1,-5.852828979E-2,9.834399261E0
3.089226500E0,-4.656816101E-1,-4.161346436E-2,9.811646576E0
3.188835500E0,-4.507127380E-1,-5.239105225E-2,9.813293152E0
3.288444500E0,-4.611909485E-1,-4.221221924E-2,9.810000000E0
3.388053500E0,-4.813989258E-1,-5.149291992E-2,9.813891907E0
3.487662500E0,-4.628375244E-1,-5.748046875E-2,9.779313812E0
3.587271500E0,-4.816983032E-1,-4.655319214E-2,9.805060272E0
3.686880500E0,-2.112107849E-1,-4.550537109E-2,9.872120819E0
3.786489500E0,-3.776646423E-1,-1.541793823E-2,9.869127045E0
3.886097875E0,-4.596940613E-1,-5.328918457E-2,9.823921051E0
3.985706875E0,-4.746629333E-1,-3.338058472E-2,9.790690155E0
4.085315875E0,-4.351451111E-1,-4.924758911E-2,9.795180817E0
4.184924875E0,-5.367837524E-1,-6.436614990E-2,9.755662994E0
4.284533875E0,-4.637356567E-1,-5.358856201E-2,9.816436615E0
4.384142875E0,-4.514611816E-1,-3.517684937E-2,9.822573853E0
4.483750875E0,-5.028044128E-1,-5.164260864E-2,9.826465759E0
4.583359875E0,-4.888833618E-1,-6.002517700E-2,9.808054047E0
4.682968875E0,-5.191204834E-1,-4.894821167E-2,9.789792023E0
4.782577875E0,-4.430786133E-1,-3.891906738E-2,9.778864746E0
4.882187083E0,-4.848417664E-1,-5.703140259E-2,9.794132996E0
4.981796083E0,-4.638853455E-1,-4.026626587E-2,9.827962646E0
5.081405083E0,-4.755610657E-1,-4.909790039E-2,9.825417938E0
5.181014083E0,-4.125421143E-1,-4.745132446E-2,9.829160156E0
5.280623083E0,-4.649331665E-1,-4.206253052E-2,9.840686188E0
5.380232083E0,-4.766088867E-1,-4.700225830E-2,9.803862762E0
5.479841083E0,-4.785548401E-1,-4.161346436E-2,9.778116302E0
5.579450083E0,-4.772076416E-1,-4.984634399E-2,9.786199493E0
5.679059083E0,-4.686753845E-1,-4.954696655E-2,9.812245331E0
5.778668083E0,-4.737648010E-1,-4.954696655E-2,9.801916809E0
5.878277333E0,-4.959187317E-1,-5.448669434E-2,9.807904358E0
5.977886333E0,-4.822970581E-1,-3.861968994E-2,9.799222412E0
6.077495333E0,-4.999603271E-1,-4.580474854E-2,9.794132996E0
6.177104333E0,-4.625381470E-1,-4.969665527E-2,9.802365875E0
6.276713333E0,-5.092410278E-1,-4.191284180E-2,9.786498871E0
6.376322333E0,-4.519102478E-1,-5.553451538E-2,9.791737976E0
6.475930333E0,-4.605921936E-1,-4.894821167E-2,9.824070740E0
6.575539333E0,-4.438270569E-1,-6.706054688E-2,9.844727783E0
6.675148333E0,-5.041516113E-1,-5.089416504E-2,9.827363892E0
6.774757333E0,-4.637356567E-1,-5.149291992E-2,9.830357666E0
6.874365833E0,-4.989125061E-1,-3.832031250E-2,9.790690155E0
6.973974833E0,-4.653822327E-1,-5.897735596E-2,9.795629883E0
7.073583833E0,-4.673281860E-1,-2.933898926E-2,9.811796265E0
7.173192833E0,-4.782554626E-1,-5.777984619E-2,9.831854553E0
7.272801833E0,-4.899311829E-1,-3.308120728E-2,9.822124786E0
7.372410833E0,-4.662803650E-1,-4.430786133E-2,9.829758911E0
7.472019833E0,-4.704716492E-1,-5.164260864E-2,9.807305603E0
7.571628833E0,-5.002597046E-1,-5.777984619E-2,9.777816925E0
7.671237833E0,-4.896318054E-1,-5.209167480E-2,9.795480194E0
7.770846833E0,-5.251080322E-1,-6.481521606E-2,9.804910583E0
7.870456583E0,-4.578977966E-1,-5.568420410E-2,9.817185059E0
7.970065583E0,-4.564009094E-1,-3.876937866E-2,9.829160156E0
8.069674583E0,-4.608915710E-1,-3.981719971E-2,9.809550934E0
8.169283583E0,-4.420307922E-1,-5.403762817E-2,9.823771362E0
8.268892583E0,-4.540058899E-1,-3.906875610E-2,9.812095642E0
8.368501583E0,-4.757107544E-1,-6.676116943E-2,9.815388794E0
8.468110583E0,-4.333488464E-1,-4.924758911E-2,9.817783813E0
8.567719583E0,-4.679269409E-1,-4.879852295E-2,9.840237122E0
8.667328583E0,-4.682263184E-1,-4.385879517E-2,9.826914825E0
8.766937583E0,-4.716691589E-1,-5.763015747E-2,9.830058289E0
8.866545750E0,-4.824467468E-1,-5.493576050E-2,9.802515564E0
8.966154750E0,-4.873864746E-1,-4.849914551E-2,9.797126770E0
9.065763750E0,-4.721182251E-1,-4.565505981E-2,9.806407471E0
9.165372750E0,-4.613406372E-1,-3.996688843E-2,9.795330505E0
9.264981750E0,-4.828958130E-1,-5.298980713E-2,9.762997742E0
9.364590750E0,-5.179229736E-1,-4.879852295E-2,9.799970856E0
9.464199750E0,-4.839436340E-1,-2.993774414E-2,9.852511597E0
9.563808750E0,-4.631369019E-1,-5.388793945E-2,9.805808716E0
