"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.805374995E-3,-1.657054138E-1,-1.188528442E-1,1.037791901E1
1.014293750E-1,-1.257385254E-1,4.221221924E-2,9.783804474E0
2.010525000E-1,-1.083746338E-1,3.832031250E-2,9.784253540E0
3.006775000E-1,-1.534309387E-1,2.529739380E-2,9.779014435E0
4.003015000E-1,-7.649093628E-2,2.799179077E-2,9.810748444E0
4.999255000E-1,-8.412506104E-2,1.706451416E-2,9.825867004E0
5.995495000E-1,-1.396595764E-1,4.026626587E-2,9.827363892E0
6.991735000E-1,-9.774673462E-2,3.847000122E-2,9.777517548E0
7.987975000E-1,-1.245410156E-1,3.338058472E-2,9.779463501E0
8.984225000E-1,-9.565109253E-2,2.020797729E-2,9.824070740E0
9.980465000E-1,-1.010398865E-1,3.248245239E-2,9.860295410E0
1.097670500E0,-1.004411316E-1,2.978805542E-2,9.831704865E0
1.197294500E0,-1.127156067E-1,5.194198608E-2,9.792935486E0
1.296918542E0,-1.701960754E-1,3.412902832E-2,9.795929260E0
1.396542542E0,-1.538800049E-1,2.065704346E-2,9.831555176E0
1.496166542E0,-1.442999268E-1,2.829116821E-2,9.828561401E0
1.595791542E0,-1.019380188E-1,-9.580078125E-3,9.860445099E0
1.695415542E0,-1.721420288E-1,3.068618774E-2,9.825268250E0
1.795039542E0,-1.501377869E-1,1.736389160E-2,9.775571594E0
1.894663542E0,-9.295669556E-2,3.936813354E-2,9.774374084E0
1.994287542E0,-1.640588379E-1,3.502716064E-2,9.803862762E0
2.093911542E0,-1.426533508E-1,1.616638184E-2,9.829309845E0
2.193535542E0,-1.155596924E-1,3.382965088E-2,9.805659027E0
2.293159417E0,-6.466552734E-2,3.577560425E-2,9.769733734E0
2.392783417E0,-6.915618896E-2,8.053253174E-2,9.750573578E0
2.492407417E0,-6.204597473E-1,-1.796264648E-3,9.746232605E0
2.592031417E0,-1.293310547E-1,-6.256988525E-2,9.898016968E0
2.691655417E0,-1.860630798E-1,2.739303589E-2,9.833201752E0
2.791279417E0,-1.204994202E-1,9.580078125E-3,9.823771362E0
2.890903417E0,-2.725831604E-1,6.286926270E-2,9.748777313E0
2.990527417E0,-1.571731567E-1,1.257385254E-2,9.826615448E0
3.090151417E0,-3.113525391E-2,4.640350342E-2,9.813143463E0
3.189775417E0,-9.789642334E-2,1.706451416E-2,9.833950195E0
3.289400042E0,-1.243913269E-1,2.739303589E-2,9.804162140E0
3.389024042E0,-1.652563477E-1,5.523513794E-2,9.777667236E0
3.488647042E0,-8.292755127E-2,2.694396973E-2,9.825567627E0
3.588271042E0,-9.789642334E-2,1.856140137E-2,9.823471985E0
3.687895042E0,-1.441502380E-1,4.161346436E-2,9.806706848E0
3.787519042E0,-7.529342651E-2,3.023712158E-2,9.802814941E0
3.887143042E0,-1.139131165E-1,3.712280273E-2,9.788744202E0
3.986767042E0,-1.118174744E-1,2.395019531E-2,9.775721283E0
4.086391042E0,-9.999206543E-2,2.724334717E-2,9.801617432E0
4.186015042E0,-1.163081360E-1,4.221221924E-2,9.839039612E0
4.285638500E0,-1.471440125E-1,2.035766602E-2,9.857151947E0
4.385262500E0,-1.384620667E-1,4.655319214E-2,9.859397278E0
4.484885500E0,-1.347198486E-1,1.826202393E-2,9.808353424E0
4.584509500E0,-1.663041687E-1,3.427871704E-2,9.789492645E0
4.684133500E0,-2.073188782E-1,1.616638184E-2,9.831555176E0
4.783757500E0,-9.849517822E-2,3.008743286E-2,9.845027161E0
4.883381500E0,-1.877096558E-1,2.589614868E-2,9.846823425E0
4.983005500E0,-9.415420532E-2,2.903961182E-2,9.834698639E0
5.082628500E0,-1.213975525E-1,3.143463135E-2,9.810299377E0
5.182252500E0,-1.034349060E-1,3.158432007E-2,9.791588287E0
5.281876500E0,-1.077758789E-1,2.903961182E-2,9.811197510E0
5.381500500E0,-1.197509766E-1,2.739303589E-2,9.797725525E0
5.481124500E0,-1.501377869E-1,2.155517578E-2,9.804162140E0
5.580747500E0,-1.002914429E-1,2.200424194E-2,9.815538483E0
5.680371500E0,-1.248403931E-1,3.323089600E-2,9.821526031E0
5.779995500E0,-1.136137390E-1,2.005828857E-2,9.821975098E0
5.879619500E0,-1.199006653E-1,2.619552612E-2,9.804760895E0
5.979242500E0,-9.744735718E-2,2.499801636E-2,9.813891907E0
6.078866500E0,-1.559756470E-1,2.305206299E-2,9.794582062E0
6.178490500E0,-1.302291870E-1,1.466949463E-2,9.807754669E0
6.278113375E0,-1.237925720E-1,3.293151855E-2,9.832453308E0
6.377737375E0,-1.272354126E-1,2.903961182E-2,9.840536499E0
6.477361375E0,-1.079255676E-1,4.131408691E-2,9.814191284E0
6.576985375E0,-1.077758789E-1,3.876937866E-2,9.817634125E0
6.676608375E0,-1.357676697E-1,1.070274353E-1,9.819430389E0
6.776232375E0,-8.652008057E-2,1.579216003E-1,9.773475952E0
6.875856375E0,-6.616241455E-2,2.173480225E-1,9.801018677E0
6.975479375E0,-1.095721436E-1,2.267784119E-1,9.823471985E0
7.075103375E0,-1.230441284E-1,2.387535095E-1,9.824669495E0
7.174727375E0,-1.263372803E-1,3.213816833E-1,9.839488678E0
7.274351667E0,-8.098159790E-2,3.782633972E-1,9.791438599E0
7.373974667E0,-1.070274353E-1,4.138893127E-1,9.799222412E0
7.473598667E0,-9.400451660E-2,4.086502075E-1,9.771979065E0
7.573222667E0,-1.157093811E-1,4.237687683E-1,9.772577820E0
7.672845667E0,-1.052311707E-1,4.716691589E-1,9.823322296E0
7.772469667E0,-1.442999268E-1,4.912783813E-1,9.827812958E0
7.872092667E0,-9.909393311E-2,4.816983032E-1,9.824669495E0
7.971716667E0,-1.550775146E-1,4.655319214E-1,9.814041595E0
8.071340667E0,-1.169068909E-1,5.221142578E-1,9.831704865E0
8.170963667E0,-1.215472412E-1,6.559359741E-1,9.835746460E0
8.270587875E0,-8.083190918E-2,6.566844177E-1,9.775721283E0
8.370211875E0,-9.340576172E-2,6.589297485E-1,9.811197510E0
8.469834875E0,-9.550140381E-2,6.168672180E-1,9.823621674E0
8.569458875E0,-1.008901978E-1,6.227050781E-1,9.799222412E0
8.669081875E0,-1.029858398E-1,6.056405640E-1,9.828561401E0
8.768705875E0,-1.314266968E-1,5.734574890E-1,9.810598755E0
8.868328875E0,-9.759704590E-2,5.764512634E-1,9.795330505E0
8.967952875E0,-1.579216003E-1,5.364843750E-1,9.790690155E0
9.067576875E0,-5.104385376E-2,5.327421570E-1,9.788295135E0
9.167199875E0,-1.634600830E-1,5.291496277E-1,9.823771362E0
9.266824000E0,-1.269360352E-1,5.176235962E-1,9.842482452E0
9.366447000E0,-8.562194824E-2,5.170248413E-1,9.844578094E0
9.466071000E0,-1.074765015E-1,5.060975647E-1,9.830357666E0
9.565695000E0,-1.335223389E-1,5.049000549E-1,9.794881439E0
9.665318000E0,-1.077758789E-1,5.147795105E-1,9.798473969E0
9.764942000E0,-1.410067749E-1,5.276527405E-1,9.805209961E0
9.864565000E0,-1.215472412E-1,5.450166321E-1,9.809401245E0
9.964189000E0,-1.065783691E-1,5.774990845E-1,9.838141479E0
1.006381200E1,-1.094224548E-1,5.769003296E-1,9.836794281E0
1.016343600E1,-1.434017944E-1,6.045927429E-1,9.803713074E0
1.026305900E1,-1.130149841E-1,6.023474121E-1,9.789492645E0
1.036268300E1,-1.196012878E-1,6.156697083E-1,9.810598755E0
1.046230600E1,-1.064286804E-1,6.343807983E-1,9.811796265E0
1.056193000E1,-9.999206543E-2,6.215075684E-1,9.811197510E0
1.066155300E1,-9.370513916E-2,6.144721985E-1,9.822424164E0
1.076117700E1,-1.085243225E-1,6.089337158E-1,9.806557159E0
1.086080000E1,-1.052311707E-1,6.039939880E-1,9.827812958E0
1.096042300E1,-8.637039185E-2,5.842350769E-1,9.801916809E0
1.106004700E1,-1.004411316E-1,5.932164001E-1,9.805958405E0
1.115967000E1,-7.738906860E-2,5.721102905E-1,9.808503113E0
1.125929417E1,-1.200503540E-1,6.081852722E-1,9.844727783E0
1.135891717E1,-1.142124939E-1,5.951623535E-1,9.842183075E0
1.145854117E1,-7.843688965E-2,6.282435608E-1,9.836195526E0
1.155816417E1,-1.121168518E-1,5.923182678E-1,9.798923035E0
1.165778817E1,-5.763015747E-2,5.978567505E-1,9.798324280E0
1.175741117E1,-9.086105347E-2,6.078858948E-1,9.855505371E0
1.185703417E1,-6.167175293E-2,6.292913818E-1,9.829908600E0
1.195665817E1,-4.535568237E-2,6.436614990E-1,9.804611206E0
1.205628117E1,-7.619155884E-2,6.506968689E-1,9.788444824E0
1.215590517E1,-7.065307617E-2,6.301895142E-1,9.786049805E0
1.225552775E1,-1.197509766E-2,6.327342224E-1,9.758507080E0
1.235515075E1,-6.631210327E-2,6.107299805E-1,9.792037354E0
1.245477475E1,-8.487350464E-2,5.992039490E-1,9.813742218E0
1.255439775E1,-4.505630493E-2,6.292913818E-1,9.827214203E0
1.265402075E1,-5.149291992E-2,6.048921204E-1,9.792636108E0
1.275364475E1,-4.790039063E-2,6.033952332E-1,9.784103851E0
1.285326775E1,-2.140548706E-2,5.960604858E-1,9.791737976E0
1.295289175E1,-6.167175293E-2,5.634283447E-1,9.793384552E0
