"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.998955417E0,-4.808001709E-1,5.837860107E-2,9.815688171E0
9.098646417E0,-4.475692749E-1,6.107299805E-2,9.840087433E0
9.198338417E0,-4.638853455E-1,6.092330933E-2,9.832752686E0
9.298029042E0,-4.376898193E-1,4.909790039E-2,9.833800507E0
9.397721042E0,-4.460723877E-1,5.298980713E-2,9.820478210E0
9.497413042E0,-4.460723877E-1,6.735992432E-2,9.824220428E0
9.597104042E0,-4.580474854E-1,4.819976807E-2,9.821975098E0
9.696796042E0,-4.418811035E-1,6.286926270E-2,9.833351440E0
9.796487042E0,-4.584965515E-1,6.242019653E-2,9.823771362E0
9.896179042E0,-4.537065125E-1,6.092330933E-2,9.822124786E0
9.995871042E0,-4.715194702E-1,6.256988525E-2,9.830507355E0
1.009556204E1,-4.736151123E-1,6.107299805E-2,9.828860779E0
1.019525404E1,-4.764591980E-1,6.571334839E-2,9.822274475E0
1.029494692E1,-4.673281860E-1,6.556365967E-2,9.834998016E0
1.039463792E1,-4.745132446E-1,3.936813354E-2,9.842482452E0
1.049432992E1,-4.816983032E-1,4.355941772E-2,9.826765137E0
1.059402192E1,-4.698728943E-1,5.688171387E-2,9.821376343E0
1.069371292E1,-4.704716492E-1,6.346801758E-2,9.833800507E0
1.079340492E1,-4.559518433E-1,6.376739502E-2,9.832453308E0
1.089309692E1,-4.652325439E-1,4.849914551E-2,9.826914825E0
1.099278792E1,-4.830455017E-1,6.466552734E-2,9.837842102E0
1.109247992E1,-4.526586914E-1,4.400848389E-2,9.812694397E0
1.119217092E1,-4.403842163E-1,-4.550537109E-2,9.771080933E0
1.129186242E1,-4.963677979E-1,-3.583547974E-1,9.738748169E0
1.139155442E1,-4.415817261E-1,-3.501219177E-1,9.831555176E0
1.149124542E1,-5.068460083E-1,-3.504212952E-1,9.818083191E0
1.159093742E1,-4.514611816E-1,-4.049079895E-1,9.847422180E0
1.169062942E1,-4.321513367E-1,-3.763174438E-1,9.845176849E0
1.179032042E1,-4.565505981E-1,-4.677772522E-1,9.796378326E0
1.189001242E1,-4.758604431E-1,-5.150788879E-1,9.832602997E0
1.198970442E1,-4.758604431E-1,-4.608915710E-1,9.871971130E0
1.208939542E1,-4.751119995E-1,-4.311035156E-1,9.849667511E0
1.218908742E1,-4.605921936E-1,-4.894821167E-1,9.811646576E0
1.228877983E1,-4.989125061E-1,-5.611830139E-1,9.807604980E0
1.238847083E1,-4.676275635E-1,-6.480024719E-1,9.832902374E0
1.248816283E1,-4.956193542E-1,-6.584806824E-1,9.867480469E0
1.258785483E1,-4.402345276E-1,-5.725593567E-1,9.876910858E0
1.268754583E1,-4.810995483E-1,-5.029541016E-1,9.833501129E0
1.278723783E1,-4.843927002E-1,-4.674778748E-1,9.812095642E0
1.288692983E1,-4.911286926E-1,-4.637356567E-1,9.803563385E0
1.298662083E1,-4.605921936E-1,-4.992118835E-1,9.832153931E0
