"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.696408336E-2,4.672533417E0,4.803211670E0,6.910080414E0
1.366550833E-1,4.081113281E0,5.103038177E0,6.094875641E0
2.363980833E-1,1.189725952E0,5.084626465E0,5.665718079E0
3.361410833E-1,3.524869995E0,6.182593231E0,5.533842316E0
4.358840833E-1,3.339555359E-1,7.352560272E0,4.164489899E0
5.356270833E-1,2.163301392E0,7.649393005E0,7.908204803E0
6.353700833E-1,1.632355499E0,4.775519257E0,6.983427887E0
7.351130833E-1,3.067271576E0,2.195484467E0,1.010039612E1
8.348550834E-1,6.192622375E-1,-1.564247131E0,1.236249207E1
9.345984583E-1,3.737427979E0,-2.005230103E0,7.810009003E0
1.034341458E0,1.422057816E1,3.716770935E-1,2.924573318E1
1.134084458E0,2.690056000E0,5.149291992E-2,9.752669220E0
1.233827458E0,3.010539551E0,-5.328918457E-2,9.325756989E0
1.333570458E0,2.415975952E0,-5.498066711E-1,9.376800842E0
1.433313458E0,2.435884552E0,-4.340972900E-2,9.701176300E0
1.533056458E0,7.473957825E-1,2.367027740E0,5.876928864E0
1.632799458E0,7.589218140E-1,-8.038284302E-2,9.376052399E0
1.732541458E0,1.722917175E-1,-7.539820862E-1,7.227570190E0
1.832284458E0,8.382568359E-3,-2.682421875E-1,1.602148315E1
1.932027250E0,-1.082249451E-1,-6.391708374E-2,9.840536499E0
2.031770250E0,-2.013313293E-1,8.038284302E-2,9.772727509E0
2.131513250E0,-4.668791199E-1,1.422042847E-1,9.219178619E0
2.231256250E0,-9.190887451E-2,2.257904663E0,6.790329437E0
2.330999250E0,-8.592132568E-2,-1.676513672E-2,9.530082092E0
2.430742250E0,-1.612147522E-1,-3.203338623E-2,9.690997467E0
2.530485250E0,-4.076023865E-1,1.646575928E-2,9.635313263E0
2.630227250E0,-1.210382996E0,-9.844727783E0,8.563242645E0
2.729970250E0,-4.797523499E-1,-9.101074219E-2,9.540709991E0
2.829713250E0,-1.288819885E-1,1.384620667E-1,9.958640900E0
2.929455708E0,-4.730163574E-2,8.167016602E-1,9.696685638E0
3.029198708E0,-9.924362183E-2,-3.558100891E-1,9.715247040E0
3.128940708E0,-1.609153748E-1,7.933502197E-3,9.723030853E0
3.228683708E0,-1.206491089E-1,3.233276367E-2,9.654323730E0
3.328426708E0,-1.068777466E-1,1.317260742E-2,9.757010193E0
3.428169708E0,-1.498384094E-1,-2.350112915E-2,9.840237122E0
3.527912708E0,-1.369651794E-1,-2.065704346E-2,9.729317780E0
3.627654708E0,-1.501377869E-1,2.320175171E-2,9.638157349E0
3.727397708E0,-1.883084106E-1,-2.529739380E-2,9.800719299E0
3.827140708E0,-1.992356873E-1,-1.886077881E-2,9.882299652E0
3.926883500E0,-1.893562317E-1,-2.095642090E-2,9.893675995E0
4.026626500E0,-2.344125366E-1,-4.415817261E-2,9.802066498E0
4.126369500E0,-2.290237427E-1,-8.382568359E-3,9.679621124E0
4.226112500E0,-2.324665833E-1,3.442840576E-3,9.746681671E0
