"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.780916667E-3,8.232879639E-3,3.682342529E-2,9.718240814E0
6.869287500E-2,-8.472381592E-2,-8.217910767E-2,9.864037628E0
1.683158750E-1,-4.131408691E-2,-3.517684937E-2,9.841135254E0
2.679374167E-1,-1.197509766E-3,9.580078125E-3,9.718240814E0
3.675604167E-1,-4.670288086E-2,-8.083190918E-3,9.817933502E0
4.671834167E-1,-2.844085693E-2,-9.879455566E-3,9.801318054E0
5.668054167E-1,-3.607498169E-2,1.092727661E-2,9.747130737E0
6.664284167E-1,-4.535568237E-2,-2.454895020E-2,9.807904358E0
7.660504167E-1,-4.520599365E-2,-2.035766602E-2,9.834548950E0
8.656734167E-1,-3.562591553E-2,-2.245330811E-2,9.826166382E0
9.652954167E-1,-4.266128540E-2,-1.227447510E-2,9.827214203E0
1.064918417E0,-4.490661621E-2,-4.191284180E-3,9.830357666E0
1.164541417E0,-4.670288086E-2,-1.466949463E-2,9.806856537E0
1.264164000E0,-4.430786133E-2,-5.688171387E-3,9.811646576E0
1.363787000E0,-2.679428101E-2,-1.930984497E-2,9.800419922E0
1.463409000E0,-3.308120728E-2,-9.879455566E-3,9.790241089E0
1.563032000E0,-2.814147949E-2,5.688171387E-3,9.812993774E0
1.662655000E0,-3.607498169E-2,-4.191284180E-3,9.821975098E0
1.762277000E0,-2.888992310E-2,-1.496887207E-2,9.816586304E0
1.861900000E0,-3.098556519E-2,-1.302291870E-2,9.793534241E0
1.961523000E0,-1.691482544E-2,-3.891906738E-3,9.801318054E0
2.061146000E0,-1.601669312E-2,-1.871109009E-2,9.791588287E0
2.160768000E0,-3.876937866E-2,-5.688171387E-3,9.820627899E0
2.260390250E0,-3.278182983E-2,-1.451980591E-2,9.807006226E0
2.360013250E0,-3.397933960E-2,5.987548828E-4,9.816735992E0
2.459635250E0,-3.233276367E-2,-8.083190918E-3,9.808054047E0
2.559258250E0,-3.921844482E-2,-1.137634277E-2,9.806257782E0
2.658881250E0,-3.847000122E-2,-1.182540894E-2,9.797126770E0
2.758504250E0,-1.916015625E-2,-7.484436035E-3,9.797426147E0
2.858126250E0,-3.562591553E-2,-2.694396973E-3,9.814490662E0
2.957749250E0,-4.490661621E-2,2.095642090E-3,9.812095642E0
3.057372250E0,-2.484832764E-2,-5.239105225E-3,9.815239105E0
3.156995250E0,-2.814147949E-2,-2.484832764E-2,9.811197510E0
3.256618625E0,-7.185058594E-3,-1.796264648E-2,9.800719299E0
3.356241625E0,-1.736389160E-2,9.879455566E-3,9.809101868E0
3.455863625E0,-1.901046753E-2,-1.616638184E-2,9.800120544E0
3.555486625E0,-2.125579834E-2,-1.676513672E-2,9.800569611E0
3.655109625E0,-1.960922241E-2,-1.691482544E-2,9.796228638E0
3.754732625E0,-2.200424194E-2,-1.437011719E-2,9.802365875E0
3.854355625E0,-1.975891113E-2,-1.571731567E-2,9.822424164E0
3.953978625E0,-3.742218018E-2,-3.592529297E-3,9.816137238E0
4.053601625E0,-4.340972900E-2,-7.185058594E-3,9.820627899E0
4.153224625E0,-2.335144043E-2,2.245330811E-3,9.794432373E0
4.252847042E0,-5.538482666E-2,2.544708252E-3,9.830806732E0
4.352470042E0,-3.158432007E-2,-1.496887207E-2,9.834998016E0
4.452093042E0,-4.864883423E-2,-1.302291870E-2,9.805958405E0
4.551716042E0,-5.927673340E-2,-1.257385254E-2,9.801767120E0
4.651339042E0,-3.442840576E-2,4.640350342E-3,9.802665253E0
4.750962042E0,-1.960922241E-2,-7.634124756E-3,9.803563385E0
4.850585042E0,-3.951782227E-2,-3.113525391E-2,9.812694397E0
4.950208042E0,-4.191284180E-3,-2.694396973E-3,9.820328522E0
5.049831042E0,-6.137237549E-3,-5.388793945E-3,9.808802490E0
5.149454042E0,-4.640350342E-2,-1.945953369E-3,9.797875214E0
5.249077375E0,5.538482666E-3,-1.077758789E-2,9.779014435E0
5.348700375E0,-3.382965088E-2,-3.023712158E-2,9.794282684E0
5.448324375E0,-1.586700439E-2,-3.293151855E-3,9.810598755E0
5.547947375E0,-3.847000122E-2,-2.694396973E-3,9.813293152E0
5.647570375E0,-4.999603271E-2,-2.544708252E-2,9.803413696E0
5.747193375E0,-4.879852295E-2,-1.451980591E-2,9.809700623E0
5.846816375E0,-3.008743286E-2,-6.137237549E-3,9.800719299E0
5.946439375E0,-4.086502075E-2,-1.871109009E-2,9.810449066E0
6.046063375E0,-3.098556519E-2,8.382568359E-3,9.801168365E0
6.145686375E0,-6.286926270E-2,-5.388793945E-3,9.818981323E0
6.245309875E0,-4.640350342E-2,-8.981323242E-3,9.809251556E0
6.344932875E0,-2.305206299E-2,-1.107696533E-2,9.823771362E0
6.444555875E0,-3.757186890E-2,-8.681945801E-3,9.799521790E0
6.544178875E0,-2.365081787E-2,-4.640350342E-3,9.800719299E0
6.643802875E0,-3.008743286E-2,-3.143463135E-3,9.797426147E0
6.743425875E0,-2.350112915E-2,2.544708252E-3,9.811646576E0
6.843048875E0,-1.242416382E-2,-7.334747314E-3,9.807754669E0
6.942671875E0,-1.077758789E-2,-2.050735474E-2,9.819280701E0
7.042294875E0,-2.814147949E-2,-7.634124756E-3,9.802665253E0
7.141918875E0,-2.589614868E-2,2.694396973E-3,9.796677704E0
7.241541042E0,-4.730163574E-2,2.095642090E-3,9.806108093E0
7.341164042E0,-6.242019653E-2,-1.047821045E-2,9.813891907E0
7.440787042E0,-2.544708252E-2,-7.484436035E-3,9.828262024E0
7.540411042E0,-4.595443726E-2,-7.933502197E-3,9.804461517E0
7.640034042E0,-3.397933960E-2,-6.586303711E-3,9.816286926E0
7.739657042E0,-5.269042969E-2,-2.110610962E-2,9.817035370E0
7.839281042E0,-5.343887329E-2,-1.197509766E-2,9.797426147E0
7.938904042E0,-2.529739380E-2,1.496887207E-4,9.802066498E0
8.038528042E0,-3.263214111E-2,-1.062789917E-2,9.790839844E0
8.138151042E0,-6.167175293E-2,-2.559677124E-2,9.825268250E0
8.237775542E0,-2.380050659E-2,2.395019531E-3,9.828711090E0
8.337398542E0,-2.709365845E-2,-5.987548828E-3,9.826166382E0
8.437022542E0,-3.577560425E-2,-1.721420288E-2,9.797725525E0
8.536645542E0,-2.155517578E-2,-9.280700684E-3,9.794881439E0
8.636269542E0,-5.179229736E-2,-1.152603149E-2,9.775122528E0
8.735892542E0,-2.619552612E-2,-1.646575928E-3,9.803114319E0
8.835516542E0,-3.353027344E-2,-1.002914429E-2,9.816286926E0
8.935139542E0,-4.819976807E-2,-1.960922241E-2,9.843679962E0
9.034763542E0,-3.697311401E-2,-1.227447510E-2,9.799671478E0
9.134387542E0,-5.134323120E-2,-1.302291870E-2,9.761351166E0
9.234010542E0,-3.727249146E-2,-7.634124756E-3,9.781110077E0
9.333634500E0,-5.239105225E-2,-1.077758789E-2,9.820927277E0
9.433258500E0,-4.999603271E-2,1.197509766E-3,9.855056305E0
9.532881500E0,-3.577560425E-2,-9.280700684E-3,9.836494904E0
9.632505500E0,-4.460723877E-2,-1.317260742E-2,9.806257782E0
9.732129500E0,-3.622467041E-2,-5.239105225E-3,9.769134979E0
9.831753500E0,-1.377136230E-2,-8.532257080E-3,9.771829376E0
9.931377500E0,-2.963836670E-2,-3.891906738E-3,9.787097626E0
1.003100050E1,-2.245330811E-2,1.047821045E-3,9.819729767E0
1.013062450E1,-1.167572021E-2,1.796264648E-3,9.824819183E0
1.023024850E1,-3.502716064E-2,1.496887207E-2,9.798324280E0
1.032987229E1,-4.355941772E-2,-4.490661621E-4,9.772428131E0
1.042949629E1,-1.766326904E-2,4.340972900E-3,9.794881439E0
1.052912029E1,-2.679428101E-2,-2.245330811E-3,9.810000000E0
1.062874329E1,-4.924758911E-2,-1.796264648E-3,9.827064514E0
1.072836729E1,-4.520599365E-2,2.993774414E-3,9.825567627E0
1.082799129E1,-4.475692749E-2,1.451980591E-2,9.817185059E0
1.092761529E1,4.834945679E-2,2.993774414E-2,9.824220428E0
1.102723929E1,-4.460723877E-2,8.981323242E-3,9.877060547E0
1.112686329E1,-4.191284180E-2,8.232879639E-3,9.848470001E0
1.122648729E1,-2.694396973E-3,2.395019531E-3,9.850865021E0
1.132611163E1,-6.780899048E-2,-1.960922241E-2,9.872270508E0
1.142573563E1,-6.511459351E-2,-2.125579834E-2,9.761351166E0
1.152535963E1,-6.795867920E-2,7.035369873E-3,9.824669495E0
1.162498363E1,-1.960922241E-2,4.685256958E-2,9.868977356E0
1.172460763E1,-1.062789917E-2,1.856140137E-2,9.771829376E0
1.182423163E1,-6.107299805E-2,-2.290237427E-2,9.827962646E0
1.192385563E1,-3.891906738E-3,-7.634124756E-3,9.814191284E0
1.202347963E1,-1.362167358E-2,-1.526824951E-2,9.835896149E0
1.212310463E1,-5.089416504E-3,2.679428101E-2,9.778565369E0
1.222272863E1,-5.703140259E-2,6.286926270E-3,9.803713074E0
1.232235263E1,-1.302291870E-2,-2.050735474E-2,9.840087433E0
1.242197663E1,-8.951385498E-2,-7.334747314E-3,9.803563385E0
1.252160063E1,1.362167358E-2,1.392105103E-2,9.797875214E0
1.262122463E1,-5.298980713E-2,-7.185058594E-3,9.820328522E0
1.272084963E1,-7.005432129E-2,-4.340972900E-3,9.780810699E0
1.282047363E1,3.412902832E-2,-1.347198486E-2,9.810449066E0
1.292009763E1,-3.218307495E-2,-9.729766846E-3,9.829758911E0
1.301972163E1,-4.176315308E-2,-1.317260742E-2,9.854158173E0
1.311934663E1,2.664459229E-2,-2.185455322E-2,9.792935486E0
1.321897063E1,-3.577560425E-2,4.939727783E-3,9.771979065E0
1.331859500E1,-1.077758789E-2,-5.987548828E-4,9.797426147E0
1.341822000E1,-4.146377563E-2,-1.796264648E-3,9.806108093E0
1.351784400E1,-2.844085693E-3,2.844085693E-3,9.895322571E0
1.361746800E1,2.290237427E-2,3.083587646E-2,9.781708832E0
1.371709300E1,-7.933502197E-2,1.302291870E-2,9.709409180E0
1.381671700E1,-1.215472412E-1,-2.170486450E-2,9.603878632E0
1.391634100E1,-1.161584473E-1,-1.077758789E-2,9.862091675E0
1.401596600E1,-5.553451538E-2,-8.666976929E-2,9.915680237E0
1.411559000E1,-5.029541016E-2,7.035369873E-3,9.767189026E0
1.421521500E1,-1.047821045E-2,3.397933960E-2,9.728419647E0
1.431483988E1,-3.218307495E-2,-2.874023438E-2,9.918674011E0
1.441446488E1,-1.886077881E-2,-2.095642090E-3,9.832453308E0
1.451408888E1,-2.424957275E-2,7.484436035E-3,9.772877197E0
1.461371288E1,-7.933502197E-2,1.092727661E-2,9.788145447E0
1.471333788E1,-6.331832886E-2,4.640350342E-3,9.799671478E0
1.481296188E1,-3.622467041E-2,5.538482666E-3,9.805209961E0
1.491258688E1,-3.427871704E-2,-3.442840576E-3,9.819879456E0
1.501221188E1,-3.098556519E-2,1.152603149E-2,9.808353424E0
1.511183588E1,-4.415817261E-2,2.844085693E-3,9.801318054E0
1.521146088E1,-2.933898926E-2,8.681945801E-3,9.820627899E0
1.531108417E1,-3.772155762E-2,-8.981323242E-4,9.811047821E0
1.541070917E1,-2.065704346E-2,-6.286926270E-3,9.799821167E0
1.551033317E1,-4.400848389E-2,-1.661544800E-2,9.806557159E0
1.560995817E1,-5.987548828E-2,1.092727661E-2,9.821975098E0
1.570958317E1,-4.041595459E-2,4.340972900E-3,9.814191284E0
1.580920717E1,-4.954696655E-2,-7.634124756E-3,9.782756653E0
1.590883217E1,-4.909790039E-2,-1.092727661E-2,9.794282684E0
1.600845717E1,-4.939727783E-3,-3.592529297E-3,9.827363892E0
1.610808117E1,-2.005828857E-2,2.993774414E-3,9.800270233E0
1.620770617E1,-2.918930054E-2,-6.137237549E-3,9.798024902E0
1.630733038E1,-3.427871704E-2,-3.592529297E-3,9.812694397E0
1.640695438E1,-2.110610962E-2,-7.484436035E-3,9.784403229E0
1.650657938E1,-2.799179077E-2,-4.790039062E-3,9.808802490E0
1.660620438E1,-4.011657715E-2,-1.092727661E-2,9.813293152E0
1.670582838E1,-3.233276367E-2,-8.083190918E-3,9.809251556E0
1.680545338E1,-4.715194702E-2,-2.544708252E-3,9.804910583E0
1.690507838E1,-4.071533203E-2,-4.490661621E-4,9.806257782E0
1.700470338E1,-2.469863892E-2,-3.742218018E-3,9.820927277E0
1.710432838E1,-5.284011841E-2,-2.185455322E-2,9.832752686E0
1.720395238E1,-4.475692749E-2,-9.280700684E-3,9.807904358E0
1.730357775E1,-6.451583862E-2,-2.993774414E-4,9.796677704E0
1.740320275E1,-4.206253052E-2,8.232879639E-3,9.802216187E0
1.750282775E1,-1.511856079E-2,8.981323242E-4,9.826316071E0
1.760245275E1,-1.152603149E-2,-0.000000000E0,9.810449066E0
1.770207675E1,-1.407073975E-2,-2.844085693E-3,9.832602997E0
1.780170175E1,-3.083587646E-2,-3.742218018E-3,9.816436615E0
1.790132675E1,-4.191284180E-3,-1.616638184E-2,9.759854279E0
1.800095175E1,-3.517684937E-2,3.592529297E-3,9.768087158E0
1.810057675E1,-4.206253052E-2,1.679507446E-1,9.864486694E0
1.820020175E1,-4.475692749E-2,3.350033569E-1,9.827962646E0
1.829982679E1,-6.631210327E-2,4.240681458E-1,9.812993774E0
1.839945079E1,-4.415817261E-2,4.273612976E-1,9.795779572E0
1.849907579E1,-1.856140137E-2,4.752616882E-1,9.759704590E0
1.859870079E1,-2.230361938E-2,4.959187317E-1,9.792636108E0
1.869832579E1,-1.676513672E-2,5.361849976E-1,9.856104126E0
1.879795079E1,-5.239105225E-3,5.899232483E-1,9.833501129E0
1.889757579E1,-1.706451416E-2,6.435118103E-1,9.823471985E0
1.899720079E1,-1.332229614E-2,6.339317322E-1,9.785900116E0
1.909682579E1,-9.729766846E-3,6.086343384E-1,9.778715057E0
1.919645079E1,-4.685256958E-2,5.869294739E-1,9.791288910E0
1.929607579E1,-5.987548828E-2,5.026547241E-1,9.819879456E0
1.939570079E1,-2.574645996E-2,4.652325439E-1,9.838440857E0
1.949532579E1,-8.098159790E-2,4.555027771E-1,9.830058289E0
1.959495079E1,-5.164260864E-2,4.067042542E-1,9.826016693E0
1.969457579E1,-5.284011841E-2,4.378395081E-1,9.802515564E0
1.979420079E1,-2.125579834E-2,5.679190063E-1,9.806108093E0
1.989382579E1,-1.466949463E-2,7.234455872E-1,9.832004242E0
1.999345079E1,-1.017883301E-2,7.298822021E-1,9.811796265E0
2.009307579E1,-4.715194702E-2,5.824388123E-1,9.818831635E0
2.019270079E1,-6.735992432E-3,4.764591980E-1,9.732012177E0
2.029232588E1,-5.044509888E-2,5.249583435E-1,9.852062531E0
2.039195088E1,-1.736389160E-2,6.137237549E-1,9.837842102E0
2.049157588E1,-7.843688965E-2,6.704557800E-1,9.805659027E0
2.059120188E1,-1.661544800E-2,6.747967529E-1,9.790540466E0
2.069082688E1,-2.874023438E-2,7.038363647E-1,9.779014435E0
2.079045188E1,-1.167572021E-2,7.396119690E-1,9.811646576E0
2.089007688E1,-2.814147949E-2,8.056246948E-1,9.866282959E0
2.098970188E1,-5.912704468E-2,8.015830994E-1,9.837842102E0
2.108932688E1,-4.939727783E-2,8.168513489E-1,9.808503113E0
2.118895188E1,-1.197509766E-2,8.882528687E-1,9.812544708E0
2.128857725E1,-6.586303711E-3,9.337582397E-1,9.822274475E0
2.138820325E1,-2.829116821E-2,8.854087830E-1,9.827663269E0
2.148782825E1,-2.514770508E-2,8.096662903E-1,9.823621674E0
2.158745325E1,-3.203338623E-2,7.954458618E-1,9.803264008E0
2.168707825E1,-2.245330811E-3,8.147557068E-1,9.849068756E0
2.178670325E1,-3.023712158E-2,8.439450073E-1,9.817334747E0
2.188632825E1,-3.861968994E-2,8.385562134E-1,9.796977081E0
2.198595425E1,1.646575928E-3,8.442443848E-1,9.791588287E0
2.208557925E1,-1.332229614E-2,8.337661743E-1,9.844278717E0
2.218520425E1,-1.676513672E-2,7.665559387E-1,9.822274475E0
2.228482900E1,3.742218018E-3,7.237449646E-1,9.815837860E0
2.238445400E1,-1.945953369E-3,6.807843018E-1,9.804012451E0
2.248408000E1,-2.484832764E-2,7.048841858E-1,9.793085175E0
2.258370500E1,-1.496887207E-2,7.096742249E-1,9.842632141E0
2.268333000E1,-1.182540894E-2,6.944059753E-1,9.777816925E0
2.278295500E1,8.981323242E-4,6.370751953E-1,9.820627899E0
2.288258100E1,5.239105225E-3,6.480024719E-1,9.815239105E0
2.298220600E1,3.951782227E-2,6.547384644E-1,9.847571869E0
2.308183100E1,2.380050659E-2,6.533912659E-1,9.791588287E0
2.318145600E1,3.847000122E-2,6.535409546E-1,9.780361633E0
2.328108188E1,6.975494385E-2,6.349795532E-1,9.789642334E0
2.338070688E1,2.799179077E-2,6.282435608E-1,9.778265991E0
2.348033188E1,-5.089416504E-3,5.945635986E-1,9.792636108E0
2.357995788E1,4.475692749E-2,5.475613403E-1,9.824220428E0
2.367958288E1,7.334747314E-2,5.668711853E-1,9.801318054E0
2.377920788E1,7.244934082E-2,5.763015747E-1,9.802964630E0
2.387883288E1,4.580474854E-2,5.980064392E-1,9.791887665E0
2.397845888E1,4.430786133E-2,6.221063232E-1,9.808503113E0
2.407808388E1,2.799179077E-2,6.331832886E-1,9.806557159E0
2.417770888E1,4.460723877E-2,6.882687378E-1,9.808503113E0
2.427733450E1,1.841171265E-2,7.732919312E-1,9.855056305E0
2.437695950E1,2.769241333E-2,8.042774963E-1,9.858798523E0
2.447658450E1,3.023712158E-2,7.786807251E-1,9.844428406E0
2.457621050E1,1.916015625E-2,7.265890503E-1,9.825118561E0
2.467583550E1,2.859054565E-2,7.433541870E-1,9.838889923E0
2.477546050E1,4.400848389E-2,7.881111145E-1,9.854158173E0
2.487508650E1,7.364685059E-2,8.402027893E-1,9.813592529E0
2.497471150E1,5.403762817E-2,8.652008057E-1,9.788744202E0
2.507433650E1,7.903564453E-2,8.110134888E-1,9.764644318E0
2.517396250E1,1.080752563E-1,7.632627869E-1,9.772128754E0
2.527358788E1,1.100212097E-1,7.872129822E-1,9.816436615E0
2.537321288E1,1.196012878E-1,8.193960571E-1,9.821825409E0
2.547283888E1,1.131646729E-1,8.158035278E-1,9.815538483E0
2.557246388E1,8.652008057E-2,7.780819702E-1,9.779762878E0
2.567208888E1,4.625381470E-2,7.673043823E-1,9.769134979E0
2.577171488E1,5.014572144E-2,7.280859375E-1,9.773775330E0
2.587133988E1,4.101470947E-2,7.141648865E-1,9.842033386E0
2.597096588E1,2.005828857E-2,7.379653931E-1,9.890233154E0
2.607059088E1,2.993774414E-3,7.385641479E-1,9.874665527E0
2.617021588E1,1.077758789E-2,7.400610352E-1,9.829459534E0
2.626984113E1,-8.532257080E-3,7.725434875E-1,9.812544708E0
