"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.156125000E-3,-3.453318787E-1,-4.640350342E-2,9.792187042E0
1.047831250E-1,-4.189787292E-1,-4.864883423E-2,9.751920776E0
2.044101250E-1,-4.760101318E-1,-7.200027466E-2,9.723779297E0
3.040381250E-1,-4.279600525E-1,-4.745132446E-2,9.770631866E0
4.036651250E-1,-3.017724609E-1,-4.251159668E-2,9.757159882E0
5.032921250E-1,-3.872447205E-1,-2.859054565E-2,9.890831909E0
6.029191250E-1,-3.731739807E-1,-5.613327026E-2,9.899513855E0
7.025461250E-1,-3.782633972E-1,-4.116439819E-2,9.798024902E0
8.021741250E-1,-3.043171692E-1,-5.134323120E-2,9.737101593E0
9.018011250E-1,-2.923420715E-1,-4.909790039E-2,9.730215912E0
1.001428000E0,-2.589614868E-1,-6.391708374E-2,9.881850586E0
1.101055000E0,-3.637435913E-1,-6.167175293E-2,9.833800507E0
1.200682000E0,-4.055067444E-1,-1.841171265E-2,9.797426147E0
1.300309000E0,-2.537223816E-1,-5.882766724E-2,9.800719299E0
1.399936000E0,-3.089575195E-1,-6.047424316E-2,9.791588287E0
1.499564000E0,-1.781295776E-1,-8.397537231E-2,9.883646851E0
1.599191000E0,-3.679348755E-1,-5.059478760E-2,9.864935760E0
1.698818000E0,-3.529660034E-1,-3.562591553E-2,9.809850311E0
1.798445000E0,-2.442919922E-1,-8.382568359E-3,9.755064240E0
1.898072000E0,-3.155438232E-1,-5.463638306E-2,9.771080933E0
1.997699292E0,-3.388952637E-1,-7.918533325E-2,9.842781830E0
2.097326292E0,-2.591111755E-1,-7.274871826E-2,9.840237122E0
2.196953292E0,-3.854484558E-1,-4.969665527E-2,9.811197510E0
2.296580292E0,-3.555107117E-1,-2.005828857E-2,9.764494629E0
2.396207292E0,-2.950364685E-1,-5.508544922E-2,9.702224121E0
2.495834292E0,-3.246748352E-1,-5.119354248E-2,9.743238831E0
2.595461292E0,-3.456312561E-1,-7.065307617E-2,9.781110077E0
2.695088292E0,-2.483335876E-1,-5.074447632E-2,9.973609772E0
2.794715292E0,-2.707868958E-1,-4.355941772E-2,9.931846619E0
2.894342292E0,-3.032693481E-1,-8.083190918E-3,9.828860779E0
2.993968542E0,-2.528242493E-1,-3.772155762E-2,9.741442566E0
3.093595542E0,-2.489323425E-1,-4.221221924E-2,9.691296844E0
3.193222542E0,-2.342628479E-1,-6.601272583E-2,9.759405212E0
3.292849542E0,-3.411405945E-1,-3.712280273E-2,9.814939728E0
3.392476542E0,-3.983216858E-1,-4.505630493E-2,9.878856812E0
3.492103542E0,-3.863465881E-1,-2.784210205E-2,9.882000275E0
3.591730542E0,-3.453318787E-1,-8.352630615E-2,9.763446808E0
3.691357542E0,-3.243754578E-1,-5.164260864E-2,9.686506805E0
3.790984542E0,-2.604583740E-1,-3.068618774E-2,9.659562836E0
3.890611542E0,-2.588117981E-1,-2.499801636E-2,9.825867004E0
3.990238667E0,-2.613565063E-1,-4.894821167E-2,9.923014984E0
4.089865667E0,-2.281256104E-1,-5.313949585E-2,9.943821716E0
4.189492667E0,-2.588117981E-1,-6.167175293E-2,9.891131287E0
4.289119667E0,-1.954934692E-1,-6.227050781E-2,9.773026886E0
4.388746667E0,-2.176473999E-1,-2.320175171E-2,9.719288635E0
4.488373667E0,-2.899470520E-1,-3.562591553E-2,9.729018402E0
4.588000667E0,-3.490740967E-1,-2.799179077E-2,9.805359650E0
4.687627667E0,-2.624043274E-1,-4.670288086E-2,9.901010742E0
4.787254667E0,-3.275189209E-1,-6.616241455E-2,9.846973114E0
4.886881667E0,-3.300636292E-1,-5.822891235E-2,9.786498871E0
4.986508875E0,-3.393443298E-1,-4.924758911E-2,9.729168091E0
5.086135875E0,-3.492237854E-1,-3.637435913E-2,9.723779297E0
5.185762875E0,-3.321592712E-1,-4.969665527E-2,9.806108093E0
5.285389875E0,-2.778222656E-1,-4.326004028E-2,9.857301636E0
5.385015875E0,-2.577639771E-1,-4.670288086E-2,9.863139496E0
5.484642875E0,-2.606080627E-1,-4.924758911E-2,9.870773621E0
5.584269875E0,-2.372566223E-1,-3.532653809E-2,9.837991791E0
5.683896875E0,-2.284249878E-1,-3.921844482E-2,9.822723541E0
5.783523875E0,-2.853067017E-1,-5.478607178E-2,9.804760895E0
5.883150875E0,-2.417472839E-1,-5.493576050E-2,9.794582062E0
5.982777500E0,-2.719844055E-1,-4.236190796E-2,9.824968872E0
6.082404500E0,-3.529660034E-1,-4.146377563E-2,9.849517822E0
6.182031500E0,-3.691323853E-1,-5.807922363E-2,9.795480194E0
6.281658500E0,-3.921844482E-1,-4.221221924E-2,9.777517548E0
6.381284500E0,-3.866459656E-1,-6.227050781E-2,9.755064240E0
6.480911500E0,-3.626957703E-1,-3.742218018E-2,9.697134705E0
6.580538500E0,-3.264710999E-1,-3.008743286E-2,9.750723267E0
6.680165500E0,-3.171903992E-1,-7.080276489E-2,9.842781830E0
6.779792500E0,-3.001258850E-1,-4.834945679E-2,9.841584320E0
6.879419500E0,-2.457888794E-1,-6.466552734E-2,9.889185333E0
6.979046542E0,-2.267784119E-1,-5.568420410E-2,9.831106110E0
7.078673542E0,-1.922003174E-1,-6.212081909E-2,9.865833893E0
